"County","Code_Mailing","Code_Number","FIPS","X_Latitude","Y_Longitude","Centroid_Location","Shape_Length","Shape_Area"
"Crosby",107,54,"48,107",33.61459873,-101.2998612,"POINT (-101.2998612 33.61459873)",1.913220344,0.22690701
"Culberson",109,55,"48,109",31.44709817,-104.5177421,"POINT (-104.5177421 31.44709817)",4.080850332,0.937432831
"Dallam",111,56,"48,111",36.27777107,-102.6021647,"POINT (-102.6021647 36.27777107)",2.647748843,0.391034911
"Dallas",113,57,"48,113",32.76653746,-96.77781862,"POINT (-96.77781862 32.76653746)",1.90778162,0.226420617
"Dawson",115,58,"48,115",32.74258137,-101.9476136,"POINT (-101.9476136 32.74258137)",1.903707265,0.22477727
"Deaf Smith",117,59,"48,117",34.96602014,-102.6048162,"POINT (-102.6048162 34.96602014)",2.622245621,0.38287479
"Delta",119,60,"48,119",33.38623601,-95.67221685,"POINT (-95.67221685 33.38623601)",2.321141746,0.06975473
"Denton",121,61,"48,121",33.205574,-97.11681154,"POINT (-97.11681154 33.205574)",1.969323966,0.238359434
"DeWitt",123,62,"48,123",29.08201599,-97.35666976,"POINT (-97.35666976 29.08201599)",2.065558037,0.218449329
"Dickens",125,63,"48,125",33.61663428,-100.7788138,"POINT (-100.7788138 33.61663428)",1.920691475,0.227699784
"Dimmit",127,64,"48,127",28.42161168,-99.760574,"POINT (-99.760574 28.42161168)",2.324663844,0.314454367
"Donley",129,65,"48,129",34.96540246,-100.8140501,"POINT (-100.8140501 34.96540246)",1.966381841,0.238522128
"Duval",131,67,"48,131",27.68133382,-98.50889672,"POINT (-98.50889672 27.68133382)",2.76954491,0.425467009
"Eastland",133,68,"48,133",32.32739258,-98.8325713,"POINT (-98.8325713 32.32739258)",1.988668355,0.230684082
"Ector",135,69,"48,135",31.86908156,-102.5430907,"POINT (-102.5430907 31.86908156)",1.894771979,0.222982245
"Edwards",137,70,"48,137",29.98248216,-100.3048937,"POINT (-100.3048937 29.98248216)",3.37029966,0.513424083
"Ellis",139,71,"48,139",32.34839264,-96.79467417,"POINT (-96.79467417 32.34839264)",2.245024488,0.236142131
"El Paso",141,72,"48,141",31.7686226,-106.2352229,"POINT (-106.2352229 31.7686226)",2.435514554,0.250159941
"Erath",143,73,"48,143",32.23640361,-98.21722756,"POINT (-98.21722756 32.23640361)",2.114377539,0.269412231
"Falls",145,74,"48,145",31.25317017,-96.93579511,"POINT (-96.93579511 31.25317017)",1.797852312,0.189767948
"Fannin",147,75,"48,147",33.59396919,-96.10656755,"POINT (-96.10656755 33.59396919)",2.266622964,0.226256795
"Fayette",149,76,"48,149",29.87683207,-96.91968047,"POINT (-96.91968047 29.87683207)",2.039019253,0.232060484
"Fisher",151,77,"48,151",32.74305155,-100.4019503,"POINT (-100.4019503 32.74305155)",1.903030402,0.225014335
"Floyd",153,78,"48,153",34.07239775,-101.3033037,"POINT (-101.3033037 34.07239775)",2.006894199,0.251107266
"Foard",155,79,"48,155",33.97408519,-99.77871109,"POINT (-99.77871109 33.97408519)",2.302711251,0.177999074
"Fort Bend",157,80,"48,157",29.52763253,-95.77090562,"POINT (-95.77090562 29.52763253)",2.517978008,0.213479793
"Franklin",159,81,"48,159",33.17550691,-95.21841437,"POINT (-95.21841437 33.17550691)",1.422054395,0.073838514
"Freestone",161,82,"48,161",31.70486443,-96.14918535,"POINT (-96.14918535 31.70486443)",2.497757674,0.219827235
"Frio",163,83,"48,163",28.86726774,-99.10826004,"POINT (-99.10826004 28.86726774)",2.113710641,0.271133775
"Gaines",165,84,"48,165",32.74074537,-102.6351246,"POINT (-102.6351246 32.74074537)",2.590419039,0.374514715
"Galveston",167,85,"48,167",29.39424415,-94.96474975,"POINT (-94.96474975 29.39424415)",9.350247709,0.09632058
"Garza",169,86,"48,169",33.17991074,-101.2984496,"POINT (-101.2984496 33.17991074)",1.898322742,0.224420545
"Gillespie",171,87,"48,171",30.31800246,-98.94627245,"POINT (-98.94627245 30.31800246)",2.150997368,0.257843883
"Glasscock",173,88,"48,173",31.8694238,-101.520742,"POINT (-101.520742 31.8694238)",1.892444371,0.222376542
"Goliad",175,89,"48,175",28.65708563,-97.42646082,"POINT (-97.42646082 28.65708563)",2.171168793,0.205451115
"Gonzales",177,90,"48,177",29.45641495,-97.49279927,"POINT (-97.49279927 29.45641495)",2.124910622,0.257804828
"Gray",179,91,"48,179",35.40130666,-100.812475,"POINT (-100.812475 35.40130666)",1.968332271,0.238979313
"Grayson",181,92,"48,181",33.62684371,-96.67764864,"POINT (-96.67764864 33.62684371)",2.365599697,0.246442393
"Gregg",183,93,"48,183",32.48036452,-94.81723694,"POINT (-94.81723694 32.48036452)",1.34278303,0.068262175
"Grimes",185,94,"48,185",30.54360689,-95.98557334,"POINT (-95.98557334 30.54360689)",2.427391028,0.195299055
"Guadalupe",187,95,"48,187",29.58257236,-97.94850308,"POINT (-97.94850308 29.58257236)",2.388210502,0.172719353
"Hale",189,96,"48,189",34.07051782,-101.8269082,"POINT (-101.8269082 34.07051782)",2.018357852,0.254141583
"Hall",191,97,"48,191",34.53074134,-100.6809876,"POINT (-100.6809876 34.53074134)",1.927148111,0.229964395
"Hamilton",193,98,"48,193",31.70479181,-98.11066654,"POINT (-98.11066654 31.70479181)",1.980430905,0.206040199
"Hansford",195,99,"48,195",36.27753179,-101.3545624,"POINT (-101.3545624 36.27753179)",1.965538637,0.239189303
"Hardeman",197,100,"48,197",34.28865227,-99.7453851,"POINT (-99.7453851 34.28865227)",1.904729035,0.17664409
"Hardin",199,101,"48,199",30.33238431,-94.39021394,"POINT (-94.39021394 30.33238431)",2.706128257,0.21806037
"Harris",201,102,"48,201",29.85967144,-95.39782106,"POINT (-95.39782106 29.85967144)",7.731110055,0.42279836
"Harrison",203,103,"48,203",32.54814898,-94.37155736,"POINT (-94.37155736 32.54814898)",2.563571486,0.227725909
"Hartley",205,104,"48,205",35.83996755,-102.6028835,"POINT (-102.6028835 35.83996755)",2.617213445,0.377984981
"Haskell",207,105,"48,207",33.17824805,-99.73029401,"POINT (-99.73029401 33.17824805)",1.91739054,0.227925166
"Hays",209,106,"48,209",30.05782657,-98.03104087,"POINT (-98.03104087 30.05782657)",1.803226471,0.164422953
"Hemphill",211,107,"48,211",35.83750155,-100.2704628,"POINT (-100.2704628 35.83750155)",1.952454268,0.235628886
"Henderson",213,108,"48,213",32.21188078,-95.85356847,"POINT (-95.85356847 32.21188078)",3.152908752,0.235056213
"Hidalgo",215,109,"48,215",26.396627,-98.18088681,"POINT (-98.18088681 26.396627)",3.310209778,0.370852201
"Hill",217,110,"48,217",31.99079033,-97.1324142,"POINT (-97.1324142 31.99079033)",2.57039298,0.24370225
"Hockley",219,111,"48,219",33.60750375,-102.3430919,"POINT (-102.3430919 33.60750375)",1.922123942,0.228718494
"Hood",221,112,"48,221",32.43107878,-97.83280338,"POINT (-97.83280338 32.43107878)",1.398003437,0.109374113
"Hopkins",223,113,"48,223",33.14933822,-95.56414173,"POINT (-95.56414173 33.14933822)",2.294940916,0.198586657
"Houston",225,114,"48,225",31.31764137,-95.42225367,"POINT (-95.42225367 31.31764137)",3.177820872,0.303655156
"Howard",227,115,"48,227",32.30610232,-101.4355097,"POINT (-101.4355097 32.30610232)",1.900374847,0.224253983
"Hudspeth",229,116,"48,229",31.45613738,-105.3869428,"POINT (-105.3869428 31.45613738)",4.987478424,1.12311582
"Hunt",231,117,"48,231",33.123531,-96.08550014,"POINT (-96.08550014 33.123531)",2.045719894,0.220775693
"Hutchinson",233,118,"48,233",35.84000866,-101.3547257,"POINT (-101.3547257 35.84000866)",1.93562571,0.231227108
"Irion",235,119,"48,235",31.30393203,-100.9824126,"POINT (-100.9824126 31.30393203)",2.048732909,0.258119251
"Jack",237,120,"48,237",33.23345819,-98.1725509,"POINT (-98.1725509 33.23345819)",1.934221464,0.230607004
"Jackson",239,121,"48,239",28.95603133,-96.57883268,"POINT (-96.57883268 28.95603133)",2.989531452,0.203834941
"Jasper",241,122,"48,241",30.74391255,-94.02495849,"POINT (-94.02495849 30.74391255)",3.772042636,0.236629114
"Jeff Davis",243,123,"48,243",30.71559322,-104.1403539,"POINT (-104.1403539 30.71559322)",3.438754776,0.552008437
"Jefferson",245,124,"48,245",29.88425832,-94.1708778,"POINT (-94.1708778 29.88425832)",5.230217632,0.231656113
"Jim Hogg",247,125,"48,247",27.04340499,-98.6972921,"POINT (-98.6972921 27.04340499)",2.271751304,0.267624126
"Jim Wells",249,126,"48,249",27.73131099,-98.0898649,"POINT (-98.0898649 27.73131099)",2.427014479,0.205830636
"Johnson",251,127,"48,251",32.37899918,-97.36660504,"POINT (-97.36660504 32.37899918)",1.828065697,0.18214922
"Jones",253,128,"48,253",32.73970429,-99.87850599,"POINT (-99.87850599 32.73970429)",1.952559971,0.23329206
"Karnes",255,129,"48,255",28.90493782,-97.85960621,"POINT (-97.85960621 28.90493782)",1.986381859,0.179978182
"Kaufman",257,130,"48,257",32.59927808,-96.28779341,"POINT (-96.28779341 32.59927808)",2.002230724,0.200935223
"Kendall",259,131,"48,259",29.9446397,-98.71160511,"POINT (-98.71160511 29.9446397)",1.606343256,0.160452828
"Kenedy",261,66,"48,261",26.92409448,-97.68137783,"POINT (-97.68137783 26.92409448)",5.067864307,0.389397352
"Kent",263,132,"48,263",33.18284492,-100.7791031,"POINT (-100.7791031 33.18284492)",1.89953853,0.223632298
"Kerr",265,133,"48,265",30.06153035,-99.35016969,"POINT (-99.35016969 30.06153035)",2.589998866,0.268287315
"Kimble",267,134,"48,267",30.48676251,-99.74892716,"POINT (-99.74892716 30.48676251)",2.472410508,0.304157368
"King",269,135,"48,269",33.61641863,-100.2558584,"POINT (-100.2558584 33.61641863)",1.928296567,0.229952945
"Kinney",271,136,"48,271",29.35000302,-100.4178441,"POINT (-100.4178441 29.35000302)",2.431027941,0.328233005
"Kleberg",273,137,"48,273",27.43274395,-97.72889778,"POINT (-97.72889778 27.43274395)",4.444938992,0.213851073
"Knox",275,138,"48,275",33.60614755,-99.74144313,"POINT (-99.74144313 33.60614755)",2.133528675,0.215261898
"Lamar",277,139,"48,277",33.66746186,-95.57110784,"POINT (-95.57110784 33.66746186)",2.716470116,0.235193679
"Lamb",279,140,"48,279",34.06861242,-102.3517095,"POINT (-102.3517095 34.06861242)",2.03117493,0.257464651
"Lampasas",281,141,"48,281",31.19627791,-98.24142711,"POINT (-98.24142711 31.19627791)",1.998939902,0.175008429
"La Salle",283,142,"48,283",28.34621032,-99.1034773,"POINT (-99.1034773 28.34621032)",2.402579048,0.358902539
"Lavaca",285,143,"48,285",29.38437003,-96.93020993,"POINT (-96.93020993 29.38437003)",1.928384427,0.233736863
"Lee",287,144,"48,287",30.31065065,-96.96568735,"POINT (-96.96568735 30.31065065)",2.213853346,0.15399046
"Leon",289,145,"48,289",31.29655719,-95.99554292,"POINT (-95.99554292 31.29655719)",2.92344693,0.265163044
"Liberty",291,146,"48,291",30.15153187,-94.8120925,"POINT (-94.8120925 30.15153187)",2.401832368,0.284788514
"Limestone",293,147,"48,293",31.54541898,-96.58056718,"POINT (-96.58056718 31.54541898)",1.942498836,0.229530725
"Lipscomb",295,148,"48,295",36.27778432,-100.27317,"POINT (-100.27317 36.27778432)",1.979805548,0.242396091
"Live Oak",297,149,"48,297",28.3514375,-98.12474493,"POINT (-98.12474493 28.3514375)",2.313603449,0.257196033
"Llano",299,150,"48,299",30.70566579,-98.68387398,"POINT (-98.68387398 30.70566579)",2.32327609,0.235689182
"Loving",301,151,"48,301",31.84912973,-103.5799063,"POINT (-103.5799063 31.84912973)",2.144683446,0.166916127
"Lubbock",303,152,"48,303",33.6101944,-101.8205745,"POINT (-101.8205745 33.6101944)",1.912739,0.226605557
"Lynn",305,153,"48,305",33.17685487,-101.8160235,"POINT (-101.8160235 33.17685487)",1.900233625,0.223592766
"McCulloch",307,160,"48,307",31.19896752,-99.34754972,"POINT (-99.34754972 31.19896752)",2.440158495,0.263267604
"McLennan",309,161,"48,309",31.55234489,-97.20184883,"POINT (-97.20184883 31.55234489)",2.088494087,0.260991644
"McMullen",311,162,"48,311",28.35351091,-98.56842256,"POINT (-98.56842256 28.35351091)",2.118908742,0.277594527
"Madison",313,154,"48,313",30.96564645,-95.92818441,"POINT (-95.92818441 30.96564645)",2.012434968,0.115431297
"Marion",315,155,"48,315",32.79797929,-94.35725239,"POINT (-94.35725239 32.79797929)",2.03368551,0.104798923
"Martin",317,156,"48,317",32.30605847,-101.9512464,"POINT (-101.9512464 32.30605847)",1.912684351,0.227088514
"Mason",319,157,"48,319",30.71742293,-99.2263026,"POINT (-99.2263026 30.71742293)",1.92661454,0.227714795
"Matagorda",321,158,"48,321",28.86711039,-95.98533866,"POINT (-95.98533866 28.86711039)",8.747459315,0.272799518
"Maverick",323,159,"48,323",28.74260943,-100.3144638,"POINT (-100.3144638 28.74260943)",2.862972203,0.308980941
"Medina",325,163,"48,325",29.35520493,-99.11008331,"POINT (-99.11008331 29.35520493)",2.496999583,0.321765559
"Menard",327,164,"48,327",30.88981785,-99.82061472,"POINT (-99.82061472 30.88981785)",2.017755354,0.220448427
"Midland",329,165,"48,329",31.86921148,-102.0315032,"POINT (-102.0315032 31.86921148)",1.893898494,0.222664882
"Milam",331,166,"48,331",30.78625299,-96.97683495,"POINT (-96.97683495 30.78625299)",2.302703729,0.249329869
"Mills",333,167,"48,333",31.49524259,-98.59552736,"POINT (-98.59552736 31.49524259)",2.438547822,0.184389335
"Mitchell",335,168,"48,335",32.30636024,-100.9211128,"POINT (-100.9211128 32.30636024)",1.914674328,0.227360727
"Montague",337,169,"48,337",33.67496328,-97.72466993,"POINT (-97.72466993 33.67496328)",2.090266045,0.235632601
"Montgomery",339,170,"48,339",30.30022409,-95.50301411,"POINT (-95.50301411 30.30022409)",2.689243253,0.261548074
"Moore",341,171,"48,341",35.83768863,-101.8929556,"POINT (-101.8929556 35.83768863)",1.949867354,0.234984076
"Morris",343,172,"48,343",33.11368507,-94.73205137,"POINT (-94.73205137 33.11368507)",1.538698151,0.064495483
"Motley",345,173,"48,345",34.07409017,-100.7798961,"POINT (-100.7798961 34.07409017)",2.0037168,0.250394064
"Nacogdoches",347,174,"48,347",31.61604108,-94.6158776,"POINT (-94.6158776 31.61604108)",4.078397345,0.241586771
"Navarro",349,175,"48,349",32.04695429,-96.47248134,"POINT (-96.47248134 32.04695429)",2.496053929,0.268572597
"Newton",351,176,"48,351",30.78619977,-93.74462993,"POINT (-93.74462993 30.78619977)",3.669101627,0.229430421
"Nolan",353,177,"48,353",32.3034718,-100.4060989,"POINT (-100.4060989 32.3034718)",1.910603822,0.226700617
"Nueces",355,178,"48,355",27.72621549,-97.61767326,"POINT (-97.61767326 27.72621549)",9.814653083,0.203472348
"Ochiltree",357,179,"48,357",36.27846334,-100.815653,"POINT (-100.815653 36.27846334)",1.967321287,0.238826482
"Oldham",359,180,"48,359",35.40497586,-102.6029949,"POINT (-102.6029949 35.40497586)",2.638663818,0.385882971
"Orange",361,181,"48,361",30.12807126,-93.89653794,"POINT (-93.89653794 30.12807126)",1.872029884,0.088532121
"Palo Pinto",363,182,"48,363",32.75316856,-98.31299522,"POINT (-98.31299522 32.75316856)",2.014896515,0.245592147
"Panola",365,183,"48,365",32.16222886,-94.30552858,"POINT (-94.30552858 32.16222886)",2.0573828,0.203268291
"Parker",367,184,"48,367",32.77852261,-97.80472194,"POINT (-97.80472194 32.77852261)",1.910490395,0.225917327
"Parmer",369,185,"48,369",34.53014507,-102.784594,"POINT (-102.784594 34.53014507)",1.905044997,0.225119009
"Pecos",371,186,"48,371",30.78100044,-102.7235743,"POINT (-102.7235743 30.78100044)",6.107163024,1.162560526
"Polk",373,187,"48,373",30.79250963,-94.82994949,"POINT (-94.82994949 30.79250963)",2.781485004,0.271059145
"Potter",375,188,"48,375",35.40128927,-101.8940484,"POINT (-101.8940484 35.40128927)",1.958919769,0.236917308
"Presidio",377,189,"48,377",29.99977786,-104.2405552,"POINT (-104.2405552 29.99977786)",5.308464465,0.933759578
"Rains",379,190,"48,379",32.87004212,-95.79347545,"POINT (-95.79347545 32.87004212)",1.336044369,0.064429716
"Randall",381,191,"48,381",34.96594288,-101.8968527,"POINT (-101.8968527 34.96594288)",1.957364828,0.235811469
"Reagan",383,192,"48,383",31.36617698,-101.5230108,"POINT (-101.5230108 31.36617698)",2.153535174,0.288722753
"Real",385,193,"48,385",29.83182711,-99.82215881,"POINT (-99.82215881 29.83182711)",1.867441064,0.169204892
"Red River",387,194,"48,387",33.62074539,-95.0501886,"POINT (-95.0501886 33.62074539)",3.528132565,0.266174116
"Reeves",389,195,"48,389",31.32307061,-103.693143,"POINT (-103.693143 31.32307061)",4.574018208,0.648796011
"Refugio",391,196,"48,391",28.32681413,-97.16546961,"POINT (-97.16546961 28.32681413)",3.326709403,0.185681696
"Roberts",393,197,"48,393",35.8385577,-100.8135689,"POINT (-100.8135689 35.8385577)",1.965001856,0.238522476
"Robertson",395,198,"48,395",31.02705415,-96.51272568,"POINT (-96.51272568 31.02705415)",2.503122646,0.211742258
"Rockwall",397,199,"48,397",32.89786769,-96.40780584,"POINT (-96.40780584 32.89786769)",0.777033816,0.037090158
"Runnels",399,200,"48,399",31.83105393,-99.97624799,"POINT (-99.97624799 31.83105393)",2.040586091,0.260769629
"Rusk",401,201,"48,401",32.10803224,-94.76169577,"POINT (-94.76169577 32.10803224)",2.447868376,0.23243584
"Sabine",403,202,"48,403",31.34321941,-93.85170439,"POINT (-93.85170439 31.34321941)",2.033399379,0.141502516
"San Augustine",405,203,"48,405",31.39427005,-94.16809762,"POINT (-94.16809762 31.39427005)",2.593834231,0.145542583
"San Jacinto",407,204,"48,407",30.57948905,-95.16683273,"POINT (-95.16683273 30.57948905)",2.203357163,0.153019057
"San Patricio",409,205,"48,409",28.00922186,-97.51859857,"POINT (-97.51859857 28.00922186)",3.462105819,0.167653718
"San Saba",411,206,"48,411",31.15520543,-98.81754295,"POINT (-98.81754295 31.15520543)",3.113854136,0.278794089
"Schleicher",413,207,"48,413",30.89661056,-100.538097,"POINT (-100.538097 30.89661056)",2.450866584,0.321456176
"Scurry",415,208,"48,415",32.74720063,-100.9165071,"POINT (-100.9165071 32.74720063)",1.905585978,0.226711706
"Shackelford",417,209,"48,417",32.7360276,-99.35403034,"POINT (-99.35403034 32.7360276)",1.915819092,0.228163176
"Shelby",419,210,"48,419",31.79242191,-94.14495261,"POINT (-94.14495261 31.79242191)",2.67878976,0.205815769
"Sherman",421,211,"48,421",36.27765824,-101.8933822,"POINT (-101.8933822 36.27765824)",1.967991354,0.239757036
"Smith",423,212,"48,423",32.37514553,-95.26909511,"POINT (-95.26909511 32.37514553)",2.919216091,0.235718677
"Somervell",425,213,"48,425",32.22229511,-97.77456553,"POINT (-97.77456553 32.22229511)",0.911909725,0.047473448
"Starr",427,214,"48,427",26.56212627,-98.73834895,"POINT (-98.73834895 26.56212627)",2.600375286,0.288492302
"Stephens",429,215,"48,429",32.73584155,-98.83612016,"POINT (-98.83612016 32.73584155)",1.922499806,0.229654219
"Sterling",431,216,"48,431",31.82786516,-101.0500699,"POINT (-101.0500699 31.82786516)",1.946807264,0.227750271
"Stonewall",433,217,"48,433",33.17842158,-100.255259,"POINT (-100.255259 33.17842158)",1.943594992,0.232000971
"Sutton",435,218,"48,435",30.49747152,-100.5382263,"POINT (-100.5382263 30.49747152)",2.530570573,0.352582441
"Swisher",437,219,"48,437",34.53064989,-101.734951,"POINT (-101.734951 34.53064989)",1.924577033,0.229375572
"Tarrant",439,220,"48,439",32.77185236,-97.29116473,"POINT (-97.29116473 32.77185236)",1.905740162,0.225294171
"Taylor",441,221,"48,441",32.30138229,-99.89003941,"POINT (-99.89003941 32.30138229)",1.920012399,0.227958667
"Terrell",443,222,"48,443",30.22502597,-102.0764533,"POINT (-102.0764533 30.22502597)",3.843494266,0.572453883
"Terry",445,223,"48,445",33.17373729,-102.335157,"POINT (-102.335157 33.17373729)",1.896687331,0.222977795
"Throckmorton",447,224,"48,447",33.17753907,-99.21236832,"POINT (-99.21236832 33.17753907)",1.92184449,0.229200301
"Titus",449,225,"48,449",33.2160906,-94.96509786,"POINT (-94.96509786 33.2160906)",2.00308064,0.106914371
"Tom Green",451,226,"48,451",31.4044442,-100.4620678,"POINT (-100.4620678 31.4044442)",3.513531432,0.378383033
"Travis",453,227,"48,453",30.33423319,-97.78194654,"POINT (-97.78194654 30.33423319)",2.458272479,0.248996407
"Trinity",455,228,"48,455",31.0885069,-95.13551682,"POINT (-95.13551682 31.0885069)",2.235507348,0.174571747
"Tyler",457,229,"48,457",30.7712607,-94.37651432,"POINT (-94.37651432 30.7712607)",2.673865732,0.228323625
"Upshur",459,230,"48,459",32.7362827,-94.94132011,"POINT (-94.94132011 32.7362827)",1.799822872,0.147655454
"Upton",461,231,"48,461",31.36853957,-102.0430005,"POINT (-102.0430005 31.36853957)",2.207151319,0.305162453
"Uvalde",463,232,"48,463",29.35669829,-99.76203107,"POINT (-99.76203107 29.35669829)",2.475666015,0.376203913
"Val Verde",465,233,"48,465",29.89300587,-101.15171,"POINT (-101.15171 29.89300587)",4.417380788,0.781933535
"Van Zandt",467,234,"48,467",32.56368961,-95.8364862,"POINT (-95.8364862 32.56368961)",2.402843541,0.213776748
"Victoria",469,235,"48,469",28.79640594,-96.97176602,"POINT (-96.97176602 28.79640594)",2.775292675,0.212539676
